RESOURCE_TYPES,RESOURCE_PATH
3,tables/cowboy/Move.csv
0,graphics/players/Player_sheet.png
3,tables/cowboy/Idle.csv
0,graphics/players/Player_stand.png
0,graphics/players/Player_left.png
0,graphics/players/Player_right.png
0,graphics/players/Player_front.png
0,graphics/players/Player_back.png
0,graphics/players/Player_idle.png
3,tables/cowboy/Die.csv
0,graphics/players/Player_Die_sheet.png
3,tables/monster/Imp.csv
3,tables/monster/Imp.csv
3,tables/monster/Mirra.csv
3,tables/monster/Mushroom.csv
3,tables/monster/Ogre.csv
3,tables/monster/Orc.csv
3,tables/monster/Pixy.csv
0,graphics/monsters/Monster_sheet.png
3,tables/monster/Die.csv
