5,5,5,5,5,5,5,0,0,0,5,5,5,5,5,5
5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5
5,2,3,3,3,3,4,3,3,4,4,3,3,3,2,5
5,2,3,3,3,4,3,4,3,4,3,3,3,3,2,5
5,2,3,3,3,3,3,3,3,4,3,3,3,3,2,5
5,2,3,3,3,7,7,7,3,7,7,7,3,3,2,5
5,2,3,3,3,7,3,3,4,3,3,7,3,3,2,5
1,2,3,3,3,7,3,4,3,3,3,7,3,3,2,0
0,2,3,3,3,3,4,3,3,3,3,3,3,3,2,0
0,2,3,3,3,7,3,3,3,3,4,7,3,3,2,1
5,2,3,3,3,7,3,3,3,3,3,7,3,4,2,5
5,2,3,3,3,7,7,7,4,7,7,7,4,3,2,5
5,2,3,3,3,3,3,3,3,3,3,3,3,3,2,5
5,2,3,4,3,3,3,3,3,3,3,3,3,3,2,5
5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5
5,5,5,5,5,5,5,0,0,0,5,5,5,5,5,5
