5,5,5,5,5,5,5,0,0,0,5,5,5,5,5,5
5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5
5,2,3,3,3,3,3,4,3,3,3,4,3,3,2,5
5,2,3,4,3,3,4,4,3,3,3,4,3,3,2,5
5,2,3,3,4,3,3,3,4,3,3,3,3,3,2,5
8,9,8,9,10,9,8,9,10,9,8,9,10,9,8,9
5,2,3,3,3,3,3,3,3,3,3,3,3,3,2,5
1,2,3,3,3,4,3,3,3,3,3,3,3,3,2,0
0,2,3,3,3,4,4,3,3,3,4,3,3,3,2,0
0,2,3,3,3,3,3,3,3,3,3,3,3,3,2,0
8,9,8,9,10,9,8,9,10,9,8,9,10,9,8,9
5,2,3,3,3,3,3,3,3,3,3,3,3,3,2,5
5,2,3,3,3,3,3,3,3,4,4,3,3,3,2,5
5,2,3,3,3,3,3,3,3,3,3,3,3,3,2,5
5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5
5,5,5,5,5,5,5,0,0,0,5,5,5,5,5,5
